week,mean_slope,lower_bound,upper_bound,analysis,time_season,pre_post,slope,lwr,upr
21,-350.91629542069194,-1428.4076556643374,374.77213044452907,"hydration, ind. trees",NA,NA,-350.91629542069194,-1428.4076556643374,374.77213044452907
29,38.08336255055537,-3632.444629155907,4388.713988946821,"hydration, ind. trees",NA,NA,38.08336255055537,-3632.444629155907,4388.713988946821
17,1378.2600337734143,56.034331081048045,5071.866500317242,"hydration, ind. trees",NA,NA,1378.2600337734143,56.034331081048045,5071.866500317242
19,255.26819760615953,-180.2225579114582,657.147462890523,"hydration, ind. trees",NA,NA,255.26819760615953,-180.2225579114582,657.147462890523
37,824.6295635341294,-35.414630805286194,2527.7021500456713,"hydration, ind. trees",NA,NA,824.6295635341294,-35.414630805286194,2527.7021500456713
12,2108.8320997497694,560.5217482024987,5547.192798972227,"hydration, ind. trees",NA,NA,2108.8320997497694,560.5217482024987,5547.192798972227
14,256.8758057933061,-767.4752724178999,1014.5661370382052,"hydration, ind. trees",NA,NA,256.8758057933061,-767.4752724178999,1014.5661370382052
33,-845.6589211762541,-1412.5795750562995,-487.92255207685935,"hydration, ind. trees",NA,NA,-845.6589211762541,-1412.5795750562995,-487.92255207685935
21,145.99484309502031,28.74815432532769,275.4064597019805,space,NA,NA,145.99484309502031,28.74815432532769,275.4064597019805
29,120.93512934001821,75.79904367709858,196.7764846231024,space,NA,NA,120.93512934001821,75.79904367709858,196.7764846231024
17,-75.05020240490893,-103.98402107815622,-59.11503429082409,space,NA,NA,-75.05020240490893,-103.98402107815622,-59.11503429082409
19,-21.361198560506562,-34.69279725948763,-11.247091196487059,space,NA,NA,-21.361198560506562,-34.69279725948763,-11.247091196487059
37,151.39943610838992,34.747893774660064,261.92863042909863,space,NA,NA,151.39943610838992,34.747893774660064,261.92863042909863
10,26.337075714053064,-24.294061078027724,78.59699473896,space,NA,NA,26.337075714053064,-24.294061078027724,78.59699473896
12,91.32933408682936,16.227000564916423,261.5796045360521,space,NA,NA,91.32933408682936,16.227000564916423,261.5796045360521
14,76.14982774929442,-270.89443747049654,343.81337734042137,space,NA,NA,76.14982774929442,-270.89443747049654,343.81337734042137
33,195.4722286841573,146.09231878466016,248.69771178200307,space,NA,NA,195.4722286841573,146.09231878466016,248.69771178200307
15,252.12922610368693,39.86467304251652,687.8431050780014,space,NA,NA,252.12922610368693,39.86467304251652,687.8431050780014
0,339.5868796594258,-9.755933808073934,1197.8711141062538,"time, ind. tree",before leafout,before leafout,339.5868796594258,-9.755933808073934,1197.8711141062538
0,-56.32122727080416,-177.9448245567331,48.80375211565983,"time, ind. tree",after leafout,after leafout,-56.32122727080416,-177.9448245567331,48.80375211565983
