tree,slope,week,date_wp,cwc,time_season
2377,-0.010836531034482769,33,2022-08-18,NA,after leafout
2377,-0.010836531034482769,14,2022-04-06,0.0608625,before leafout
2377,-0.010836531034482769,14,2022-03-30,0.0608625,before leafout
2377,-0.010836531034482769,15,2022-04-13,0.0025902,before leafout
2377,-0.010836531034482769,12,2022-03-25,0.0609267,before leafout
2377,-0.010836531034482769,29,2022-07-19,NA,after leafout
2377,-0.010836531034482769,17,2022-04-25,0.00286,after leafout
2377,-0.010836531034482769,37,2022-09-15,8.81e-5,after leafout
2377,-0.010836531034482769,10,2022-03-08,0.0654164,before leafout
2377,-0.010836531034482769,15,2022-04-11,0.0025902,before leafout
2377,-0.010836531034482769,18,2022-05-04,0.0116741,after leafout
2377,-0.010836531034482769,19,2022-05-09,0.0278165,after leafout
2377,-0.010836531034482769,21,2022-05-23,2.3e-6,after leafout
2380,-0.011592113793103457,14,2022-04-06,0.0480186,before leafout
2380,-0.011592113793103457,33,2022-08-18,NA,after leafout
2380,-0.011592113793103457,12,2022-03-25,0.0617915,before leafout
2380,-0.011592113793103457,15,2022-04-11,0.0173736,before leafout
2380,-0.011592113793103457,37,2022-09-15,0.0453778,after leafout
2380,-0.011592113793103457,14,2022-03-30,0.0480186,before leafout
2380,-0.011592113793103457,15,2022-04-13,0.0173736,before leafout
2380,-0.011592113793103457,21,2022-05-23,0.0543145,after leafout
2380,-0.011592113793103457,29,2022-07-19,NA,after leafout
2380,-0.011592113793103457,17,2022-04-25,0.0356038,after leafout
2380,-0.011592113793103457,19,2022-05-09,0.0575642,after leafout
2380,-0.011592113793103457,10,2022-03-08,0.0790987,before leafout
2380,-0.011592113793103457,18,2022-05-04,0.0274477,after leafout
