week,mean_slope,lower_bound,upper_bound
17,18.177477522144315,11.315079358375458,24.056249087849274
21,14.8668481205779,11.823368451809445,18.511404952824417
37,17.50316377071691,8.903172834428865,26.611196413649328
10,3.079632076885849,-0.05178652569291659,6.255665444266974
29,17.841132791792997,7.444206717929354,28.234637001890558
12,9.484778322198174,7.277035635107814,11.891792584602282
14,9.165284992070593,7.404677266858216,10.992230298333782
19,10.840197643330871,7.938094315303291,13.480385032296436
33,19.164106577433635,5.20940759498392,31.196993490806605
15,7.9250780406849675,-2.1423490718181286,17.050267590102283
11,8.360908718676605,-1.0030774076289675,18.25114785655076
