tree,slope,week,date_wp,cwc,time_season
2026,-0.0023759571428571507,14,2022-04-04,0.0264174,before leafout
2031,-0.023998699999999894,21,2022-05-23,0.0019923,after leafout
2031,-0.023998699999999894,19,2022-05-09,0.0120738,after leafout
2031,-0.023998699999999894,14,2022-04-04,0.0239987,before leafout
2031,-0.023998699999999894,17,2022-04-25,0.0286719,after leafout
2031,-0.023998699999999894,37,2022-09-15,0,after leafout
2031,-0.023998699999999894,29,2022-07-19,NA,after leafout
2031,-0.023998699999999894,15,2022-04-13,0,before leafout
2085,-0.019576099999999902,14,2022-04-04,0.0843665,before leafout
2085,-0.019576099999999902,19,2022-05-09,0.0440244,after leafout
2085,-0.019576099999999902,37,2022-09-15,0.034095,after leafout
2085,-0.019576099999999902,29,2022-07-19,NA,after leafout
2085,-0.019576099999999902,15,2022-04-11,0.0647904,before leafout
2085,-0.019576099999999902,17,2022-04-25,NA,after leafout
2085,-0.019576099999999902,21,2022-05-23,0.0544908,after leafout
2087,-0.0063657999999999545,17,2022-04-25,NA,after leafout
2087,-0.0063657999999999545,15,2022-04-11,0.0355636,before leafout
2087,-0.0063657999999999545,19,2022-05-09,0.0138066,after leafout
2087,-0.0063657999999999545,37,2022-09-15,0.0299489,after leafout
2087,-0.0063657999999999545,14,2022-04-04,0.0419294,before leafout
2087,-0.0063657999999999545,29,2022-07-19,NA,after leafout
2087,-0.0063657999999999545,21,2022-05-23,0.0300274,after leafout
2088,-0.021834799999999887,19,2022-05-09,0.0373164,after leafout
2088,-0.021834799999999887,17,2022-04-25,NA,after leafout
2088,-0.021834799999999887,14,2022-04-04,0.0914801,before leafout
2088,-0.021834799999999887,37,2022-09-15,0.0197244,after leafout
2088,-0.021834799999999887,15,2022-04-11,0.0696453,before leafout
2088,-0.021834799999999887,21,2022-05-23,0.0685792,after leafout
2088,-0.021834799999999887,29,2022-07-19,NA,after leafout
2090,-0.02412799999999989,14,2022-04-04,0.0634976,before leafout
2090,-0.02412799999999989,21,2022-05-23,0.0301365,after leafout
2090,-0.02412799999999989,17,2022-04-25,NA,after leafout
2090,-0.02412799999999989,37,2022-09-15,0,after leafout
2090,-0.02412799999999989,15,2022-04-11,0.0393696,before leafout
2090,-0.02412799999999989,29,2022-07-19,NA,after leafout
2090,-0.02412799999999989,19,2022-05-09,0.0392496,after leafout
2343,-0.0132912424657534,37,2022-09-15,0,after leafout
2343,-0.0132912424657534,33,2022-08-18,NA,after leafout
2343,-0.0132912424657534,12,2022-03-25,0.0638143,before leafout
2343,-0.0132912424657534,29,2022-07-19,NA,after leafout
2343,-0.0132912424657534,14,2022-03-30,0.0689302,before leafout
2343,-0.0132912424657534,15,2022-04-11,0.0109444,before leafout
2343,-0.0132912424657534,10,2022-03-08,0.0923277,before leafout
2343,-0.0132912424657534,15,2022-04-13,0.0109444,before leafout
2343,-0.0132912424657534,21,2022-05-23,0.0241679,after leafout
2343,-0.0132912424657534,14,2022-04-06,0.0689302,before leafout
2343,-0.0132912424657534,17,2022-04-25,0.0297935,after leafout
2343,-0.0132912424657534,12,2022-03-23,0.0638143,before leafout
2343,-0.0132912424657534,19,2022-05-09,0.0215256,after leafout
2343,-0.0132912424657534,18,2022-05-04,0.0224684,after leafout
2347,-0.009319498630136971,17,2022-04-25,0.0117294,after leafout
2347,-0.009319498630136971,14,2022-04-06,0.039479,before leafout
2347,-0.009319498630136971,15,2022-04-13,0,before leafout
2347,-0.009319498630136971,15,2022-04-11,0,before leafout
2347,-0.009319498630136971,29,2022-07-19,NA,after leafout
2347,-0.009319498630136971,14,2022-03-30,0.039479,before leafout
2347,-0.009319498630136971,19,2022-05-09,0,after leafout
2347,-0.009319498630136971,21,2022-05-23,0.008127,after leafout
2347,-0.009319498630136971,18,2022-05-04,0.008706,after leafout
2347,-0.009319498630136971,12,2022-03-23,0.0352206,before leafout
2347,-0.009319498630136971,37,2022-09-15,0,after leafout
2347,-0.009319498630136971,10,2022-03-08,0.0577666,before leafout
2347,-0.009319498630136971,33,2022-08-18,NA,after leafout
2347,-0.009319498630136971,12,2022-03-25,0.0352206,before leafout
2365,-0.008415897260273949,10,2022-03-08,0.0523364,before leafout
2365,-0.008415897260273949,15,2022-04-13,0.0066281,before leafout
2365,-0.008415897260273949,15,2022-04-11,0.0066281,before leafout
2365,-0.008415897260273949,14,2022-03-30,0.0649815,before leafout
2365,-0.008415897260273949,12,2022-03-23,0.0643393,before leafout
2365,-0.008415897260273949,12,2022-03-25,0.0643393,before leafout
2365,-0.008415897260273949,29,2022-07-19,NA,after leafout
2365,-0.008415897260273949,18,2022-05-04,0.0215106,after leafout
2365,-0.008415897260273949,14,2022-04-06,0.0649815,before leafout
2365,-0.008415897260273949,17,2022-04-25,0.0254951,after leafout
2365,-0.008415897260273949,21,2022-05-23,0,after leafout
2365,-0.008415897260273949,37,2022-09-15,0,after leafout
2365,-0.008415897260273949,33,2022-08-18,NA,after leafout
2365,-0.008415897260273949,19,2022-05-09,0,after leafout
2367,-0.007251830136986277,12,2022-03-25,0.0556682,before leafout
2367,-0.007251830136986277,10,2022-03-08,0.031879,before leafout
2367,-0.007251830136986277,12,2022-03-23,0.0556682,before leafout
2367,-0.007251830136986277,14,2022-04-06,0.0444385,before leafout
2367,-0.007251830136986277,37,2022-09-15,0,after leafout
2367,-0.007251830136986277,33,2022-08-18,NA,after leafout
2367,-0.007251830136986277,15,2022-04-11,0,before leafout
2367,-0.007251830136986277,14,2022-03-30,0.0444385,before leafout
2367,-0.007251830136986277,17,2022-04-25,0.0321209,after leafout
2367,-0.007251830136986277,18,2022-05-04,0.006397,after leafout
2367,-0.007251830136986277,15,2022-04-13,0,before leafout
2367,-0.007251830136986277,21,2022-05-23,0,after leafout
2367,-0.007251830136986277,29,2022-07-19,NA,after leafout
2367,-0.007251830136986277,19,2022-05-09,0,after leafout
2369,-0.005258101369862998,14,2022-03-30,0.0691728,before leafout
2369,-0.005258101369862998,12,2022-03-25,0.0467042,before leafout
2369,-0.005258101369862998,14,2022-04-06,0.0691728,before leafout
2369,-0.005258101369862998,33,2022-08-18,NA,after leafout
2369,-0.005258101369862998,10,2022-03-08,0.0522501,before leafout
2369,-0.005258101369862998,12,2022-03-23,0.0467042,before leafout
2369,-0.005258101369862998,19,2022-05-09,0,after leafout
2369,-0.005258101369862998,15,2022-04-13,0.0115005,before leafout
2369,-0.005258101369862998,15,2022-04-11,0.0115005,before leafout
2369,-0.005258101369862998,37,2022-09-15,0,after leafout
2369,-0.005258101369862998,29,2022-07-19,NA,after leafout
2369,-0.005258101369862998,17,2022-04-25,0.0144141,after leafout
2369,-0.005258101369862998,21,2022-05-23,0,after leafout
2369,-0.005258101369862998,18,2022-05-04,0.006397,after leafout
2370,-0.009437079310344834,10,2022-03-08,0.0655667,before leafout
2370,-0.009437079310344834,37,2022-09-15,0,after leafout
2370,-0.009437079310344834,29,2022-07-19,NA,after leafout
2370,-0.009437079310344834,14,2022-03-30,0.0534179,before leafout
2370,-0.009437079310344834,12,2022-03-25,0.0263388,before leafout
2370,-0.009437079310344834,33,2022-08-18,NA,after leafout
2370,-0.009437079310344834,14,2022-04-06,0.0534179,before leafout
2370,-0.009437079310344834,21,2022-05-23,0,after leafout
2370,-0.009437079310344834,18,2022-05-04,0,after leafout
2370,-0.009437079310344834,19,2022-05-09,1.273e-4,after leafout
2370,-0.009437079310344834,17,2022-04-25,0.0152271,after leafout
2370,-0.009437079310344834,15,2022-04-13,0,before leafout
2370,-0.009437079310344834,15,2022-04-11,0,before leafout
2371,0.004037410344827582,15,2022-04-11,0.0302431,before leafout
2371,0.004037410344827582,15,2022-04-13,0.0302431,before leafout
2371,0.004037410344827582,37,2022-09-15,0.0282761,after leafout
2371,0.004037410344827582,14,2022-03-30,0.0908171,before leafout
2371,0.004037410344827582,18,2022-05-04,0.027737,after leafout
2371,0.004037410344827582,19,2022-05-09,0.0259098,after leafout
2371,0.004037410344827582,12,2022-03-25,0.0553939,before leafout
2371,0.004037410344827582,17,2022-04-25,0.0570817,after leafout
2371,0.004037410344827582,10,2022-03-08,0.0209954,before leafout
2371,0.004037410344827582,14,2022-04-06,0.0908171,before leafout
2371,0.004037410344827582,21,2022-05-23,0.027288,after leafout
2371,0.004037410344827582,29,2022-07-19,NA,after leafout
2371,0.004037410344827582,33,2022-08-18,NA,after leafout
2372,0.008244850000000001,18,2022-05-04,0.0388236,after leafout
2372,0.008244850000000001,37,2022-09-15,0.0086111,after leafout
2372,0.008244850000000001,12,2022-03-25,0.0561855,before leafout
2372,0.008244850000000001,17,2022-04-25,0.0331518,after leafout
2372,0.008244850000000001,15,2022-04-11,0.0319406,before leafout
2372,0.008244850000000001,19,2022-05-09,0.0279729,after leafout
2372,0.008244850000000001,33,2022-08-18,NA,after leafout
2372,0.008244850000000001,29,2022-07-19,NA,after leafout
2372,0.008244850000000001,14,2022-03-30,0.0876852,before leafout
2372,0.008244850000000001,10,2022-03-08,0.0170495,before leafout
2372,0.008244850000000001,21,2022-05-23,0.0287231,after leafout
2372,0.008244850000000001,14,2022-04-06,0.0876852,before leafout
2375,-0.014932099999999936,14,2022-04-06,0.0920584,before leafout
2375,-0.014932099999999936,12,2022-03-25,0.079956,before leafout
2375,-0.014932099999999936,15,2022-04-13,0.0351597,before leafout
2375,-0.014932099999999936,14,2022-03-30,0.0920584,before leafout
2375,-0.014932099999999936,33,2022-08-18,NA,after leafout
2375,-0.014932099999999936,21,2022-05-23,0.0197755,after leafout
2375,-0.014932099999999936,19,2022-05-09,0,after leafout
2375,-0.014932099999999936,15,2022-04-11,0.0351597,before leafout
2375,-0.014932099999999936,37,2022-09-15,3.29e-4,after leafout
2375,-0.014932099999999936,17,2022-04-25,0.0138281,after leafout
2375,-0.014932099999999936,18,2022-05-04,0.0296294,after leafout
2375,-0.014932099999999936,29,2022-07-19,NA,after leafout
2378,-0.014253286206896561,29,2022-07-19,NA,after leafout
2378,-0.014253286206896561,10,2022-03-08,0.0891286,before leafout
2378,-0.014253286206896561,14,2022-04-06,0.0815862,before leafout
2378,-0.014253286206896561,15,2022-04-11,0.0057721,before leafout
2378,-0.014253286206896561,19,2022-05-09,0,after leafout
2378,-0.014253286206896561,33,2022-08-18,NA,after leafout
2378,-0.014253286206896561,14,2022-03-30,0.0815862,before leafout
2378,-0.014253286206896561,21,2022-05-23,0.0077666,after leafout
2378,-0.014253286206896561,37,2022-09-15,0,after leafout
2378,-0.014253286206896561,15,2022-04-13,0.0057721,before leafout
2378,-0.014253286206896561,12,2022-03-25,0.0798676,before leafout
2378,-0.014253286206896561,18,2022-05-04,0,after leafout
2378,-0.014253286206896561,17,2022-04-25,0.0233828,after leafout
2379,-0.011888372413793116,14,2022-03-30,0.0837261,before leafout
2379,-0.011888372413793116,12,2022-03-25,0.120893,before leafout
2379,-0.011888372413793116,15,2022-04-11,0.0554782,before leafout
2379,-0.011888372413793116,14,2022-04-06,0.0837261,before leafout
2379,-0.011888372413793116,17,2022-04-25,0.0149612,after leafout
2379,-0.011888372413793116,29,2022-07-19,NA,after leafout
2379,-0.011888372413793116,37,2022-09-15,0,after leafout
2379,-0.011888372413793116,15,2022-04-13,0.0554782,before leafout
2379,-0.011888372413793116,10,2022-03-08,0.109564,before leafout
2379,-0.011888372413793116,18,2022-05-04,0.0114615,after leafout
