tree,slope,week,date_wp,cwc,time_season
2331,1.454897529069767e-4,19,2022-05-09,0,after leafout
2331,1.454897529069767e-4,21,2022-05-23,0,after leafout
2345,0.0010814855377906981,29,2022-07-19,NA,after leafout
2345,0.0010814855377906981,10,2022-03-08,0.0815203,before leafout
2345,0.0010814855377906981,14,2022-04-04,0.085,before leafout
2345,0.0010814855377906981,14,2022-03-30,0.085,before leafout
2345,0.0010814855377906981,12,2022-03-25,0.0641068,before leafout
2345,0.0010814855377906981,14,2022-04-06,0.085,before leafout
2345,0.0010814855377906981,21,2022-05-23,0.0466964,after leafout
2345,0.0010814855377906981,15,2022-04-11,0.0464891,before leafout
2345,0.0010814855377906981,33,2022-08-18,NA,after leafout
2345,0.0010814855377906981,37,2022-09-15,0.0584446,after leafout
2345,0.0010814855377906981,15,2022-04-13,0.0464891,before leafout
2345,0.0010814855377906981,17,2022-04-25,0.0358432,after leafout
2345,0.0010814855377906981,18,2022-05-04,0.0328335,after leafout
2345,0.0010814855377906981,19,2022-05-09,0.0447855,after leafout
2352,-0.0013402821220930236,37,2022-09-15,0.0037738,after leafout
2352,-0.0013402821220930236,18,2022-05-04,0.0279868,after leafout
2352,-0.0013402821220930236,19,2022-05-09,0.0196147,after leafout
2352,-0.0013402821220930236,21,2022-05-23,0.0140243,after leafout
2352,-0.0013402821220930236,29,2022-07-19,NA,after leafout
2352,-0.0013402821220930236,33,2022-08-18,NA,after leafout
2352,-0.0013402821220930236,14,2022-04-06,0.0890889,before leafout
2352,-0.0013402821220930236,14,2022-03-30,0.0890889,before leafout
2352,-0.0013402821220930236,10,2022-03-08,0.116675,before leafout
2352,-0.0013402821220930236,12,2022-03-25,0.107653,before leafout
2352,-0.0013402821220930236,17,2022-04-25,0.039718,after leafout
2352,-0.0013402821220930236,15,2022-04-13,0.0282111,before leafout
2352,-0.0013402821220930236,15,2022-04-11,0.0282111,before leafout
2354,-0.002060142587209303,37,2022-09-15,0,after leafout
2354,-0.002060142587209303,18,2022-05-04,0.0434575,after leafout
2354,-0.002060142587209303,19,2022-05-09,0.0285582,after leafout
2354,-0.002060142587209303,21,2022-05-23,0.0207756,after leafout
2354,-0.002060142587209303,29,2022-07-19,NA,after leafout
2354,-0.002060142587209303,33,2022-08-18,NA,after leafout
2354,-0.002060142587209303,14,2022-03-30,0.0747563,before leafout
2354,-0.002060142587209303,10,2022-03-08,0.0710839,before leafout
2354,-0.002060142587209303,12,2022-03-25,0.0947559,before leafout
2354,-0.002060142587209303,14,2022-04-06,0.0747563,before leafout
2354,-0.002060142587209303,15,2022-04-13,0.0241116,before leafout
2354,-0.002060142587209303,15,2022-04-11,0.0241116,before leafout
2354,-0.002060142587209303,17,2022-04-25,0.0462138,after leafout
2377,-5.817699854651164e-4,29,2022-07-19,NA,after leafout
2377,-5.817699854651164e-4,33,2022-08-18,NA,after leafout
2377,-5.817699854651164e-4,19,2022-05-09,0.0278165,after leafout
2377,-5.817699854651164e-4,21,2022-05-23,2.3e-6,after leafout
2377,-5.817699854651164e-4,10,2022-03-08,0.0654164,before leafout
2377,-5.817699854651164e-4,12,2022-03-25,0.0609267,before leafout
2377,-5.817699854651164e-4,37,2022-09-15,8.81e-5,after leafout
2377,-5.817699854651164e-4,18,2022-05-04,0.0116741,after leafout
2377,-5.817699854651164e-4,14,2022-03-30,0.0608625,before leafout
2377,-5.817699854651164e-4,15,2022-04-13,0.0025902,before leafout
2377,-5.817699854651164e-4,15,2022-04-11,0.0025902,before leafout
2377,-5.817699854651164e-4,14,2022-04-06,0.0608625,before leafout
2377,-5.817699854651164e-4,17,2022-04-25,0.00286,after leafout
2380,2.8243786337209356e-4,10,2022-03-08,0.0790987,before leafout
2380,2.8243786337209356e-4,21,2022-05-23,0.0543145,after leafout
2380,2.8243786337209356e-4,29,2022-07-19,NA,after leafout
2380,2.8243786337209356e-4,33,2022-08-18,NA,after leafout
2380,2.8243786337209356e-4,37,2022-09-15,0.0453778,after leafout
2380,2.8243786337209356e-4,15,2022-04-13,0.0173736,before leafout
2380,2.8243786337209356e-4,12,2022-03-25,0.0617915,before leafout
2380,2.8243786337209356e-4,14,2022-04-06,0.0480186,before leafout
2380,2.8243786337209356e-4,14,2022-03-30,0.0480186,before leafout
2380,2.8243786337209356e-4,19,2022-05-09,0.0575642,after leafout
2380,2.8243786337209356e-4,15,2022-04-11,0.0173736,before leafout
2380,2.8243786337209356e-4,17,2022-04-25,0.0356038,after leafout
2380,2.8243786337209356e-4,18,2022-05-04,0.0274477,after leafout
