week,mean_slope,lower_bound,upper_bound,analysis,time_season,mean,pre_post,slope,lwr,upr
15,2.8829705119111266,-2.199629920377654,8.170551978808618,space,NA,NA,NA,2.8829705119111266,-2.199629920377654,8.170551978808618
17,2.4015306889529118,-2.6742770522810755,7.53183036578336,space,NA,NA,NA,2.4015306889529118,-2.6742770522810755,7.53183036578336
19,9.698719487772877,3.4456412911145815,17.04824281623107,space,NA,NA,NA,9.698719487772877,3.4456412911145815,17.04824281623107
21,1.3098432544767233,-7.39942261075065,9.066732410274609,space,NA,NA,NA,1.3098432544767233,-7.39942261075065,9.066732410274609
37,-0.3678691284457755,-7.512592374482016,10.219644432835818,space,NA,NA,NA,-0.3678691284457755,-7.512592374482016,10.219644432835818
10,4.614648311978928,1.3615870583880227,7.956592160868785,space,NA,NA,NA,4.614648311978928,1.3615870583880227,7.956592160868785
14,-4.258674357208401,-8.924397357648383,0.4848060544287756,space,NA,NA,NA,-4.258674357208401,-8.924397357648383,0.4848060544287756
12,-8.18364458566591,-17.11012755927357,3.9980666942537635,space,NA,NA,NA,-8.18364458566591,-17.11012755927357,3.9980666942537635
18,-10.921834432767644,-20.248567578319264,0.7318730190916528,space,NA,NA,NA,-10.921834432767644,-20.248567578319264,0.7318730190916528
0,NA,-0.04925212350044997,0.06481560808883602,"time, ind. tree",before leafout,0.012885014951626639,before leafout,NA,-0.04925212350044997,0.06481560808883602
0,NA,-0.04046431179014004,0.06334167178751612,"time, ind. tree",after leafout,0.013390766087367221,after leafout,NA,-0.04046431179014004,0.06334167178751612
