week,mean_slope,lower_bound,upper_bound,analysis,time_season,pre_post,slope,lwr,upr
21,86.23765426708012,-2.119325749002912,266.92378730521494,"hydration, ind. trees",NA,NA,86.23765426708012,-2.119325749002912,266.92378730521494
29,112.84462513192867,30.054098465637786,282.3815451390536,"hydration, ind. trees",NA,NA,112.84462513192867,30.054098465637786,282.3815451390536
17,64.73456242695246,-1.6728079140610534,155.52694824329723,"hydration, ind. trees",NA,NA,64.73456242695246,-1.6728079140610534,155.52694824329723
37,32.271107947097555,21.556708389421022,47.61473824048008,"hydration, ind. trees",NA,NA,32.271107947097555,21.556708389421022,47.61473824048008
10,-49.250363003369515,-90.165794791699,-9.14093828636615,"hydration, ind. trees",NA,NA,-49.250363003369515,-90.165794791699,-9.14093828636615
12,2.260537868635396,-73.85390448667196,76.76542601432837,"hydration, ind. trees",NA,NA,2.260537868635396,-73.85390448667196,76.76542601432837
14,-42.70931504591384,-204.40114953514666,44.82612289395168,"hydration, ind. trees",NA,NA,-42.70931504591384,-204.40114953514666,44.82612289395168
10,0.369996991221798,-0.23106044268898537,1.247736299199008,space,NA,NA,0.369996991221798,-0.23106044268898537,1.247736299199008
21,4.501510087039355,0.6267511326605063,6.413576373372401,space,NA,NA,4.501510087039355,0.6267511326605063,6.413576373372401
29,1.5953629649476857,-3.343536065676787,6.58424392679166,space,NA,NA,1.5953629649476857,-3.343536065676787,6.58424392679166
17,1.0896912059507917,0.8188576530974996,1.335475675072303,space,NA,NA,1.0896912059507917,0.8188576530974996,1.335475675072303
37,5.875357480262417,-0.19175690411532526,15.65687507401957,space,NA,NA,5.875357480262417,-0.19175690411532526,15.65687507401957
12,4.933690419774638,-8.58949527518914,12.245056484796505,space,NA,NA,4.933690419774638,-8.58949527518914,12.245056484796505
14,2.9034579157337217,-0.7487290491054354,12.091265914789723,space,NA,NA,2.9034579157337217,-0.7487290491054354,12.091265914789723
15,6.480181971144623,-1.423648157803333,13.974556800418366,space,NA,NA,6.480181971144623,-1.423648157803333,13.974556800418366
0,24.62443742483365,2.0512627468087303,57.48600001391595,"time, ind. tree",before leafout,before leafout,24.62443742483365,2.0512627468087303,57.48600001391595
0,4.916779819384253,0.5332501223577153,8.330008033668177,"time, ind. tree",after leafout,after leafout,4.916779819384253,0.5332501223577153,8.330008033668177
