tree,slope,week,date_wp,cwc,time_season
2022,-0.0013430994640122509,37,2022-09-15,0.0350568,after leafout
2022,-0.0013430994640122509,21,2022-05-23,0,after leafout
2022,-0.0013430994640122509,29,2022-07-19,NA,after leafout
2022,-0.0013430994640122509,10,2022-03-08,0.0771133,before leafout
2022,-0.0013430994640122509,14,2022-04-04,0.0652834,before leafout
2022,-0.0013430994640122509,17,2022-04-25,0.0260983,after leafout
2022,-0.0013430994640122509,19,2022-05-09,0.0110758,after leafout
2023,-0.0020735758805513027,29,2022-07-19,NA,after leafout
2023,-0.0020735758805513027,37,2022-09-15,6e-7,after leafout
2023,-0.0020735758805513027,17,2022-04-25,0,after leafout
2023,-0.0020735758805513027,19,2022-05-09,0.0186733,after leafout
2023,-0.0020735758805513027,10,2022-03-08,0.0451304,before leafout
2023,-0.0020735758805513027,14,2022-04-04,0.0834795,before leafout
2023,-0.0020735758805513027,21,2022-05-23,0.0142896,after leafout
2029,3.0941330445544526e-4,17,2022-04-25,0.0627055,after leafout
2029,3.0941330445544526e-4,14,2022-04-04,0.0642989,before leafout
2029,3.0941330445544526e-4,37,2022-09-15,0.0642643,after leafout
2029,3.0941330445544526e-4,19,2022-05-09,0.0317506,after leafout
2029,3.0941330445544526e-4,21,2022-05-23,0.0499989,after leafout
2029,3.0941330445544526e-4,29,2022-07-19,NA,after leafout
2030,-8.312382425742572e-4,17,2022-04-25,0.0510859,after leafout
2030,-8.312382425742572e-4,21,2022-05-23,0.035939,after leafout
2030,-8.312382425742572e-4,14,2022-04-04,0.0328956,before leafout
2030,-8.312382425742572e-4,37,2022-09-15,0.0216486,after leafout
2030,-8.312382425742572e-4,19,2022-05-09,0.0367229,after leafout
2030,-8.312382425742572e-4,29,2022-07-19,NA,after leafout
2089,-4.3107366468842737e-4,37,2022-09-15,0.0536205,after leafout
2089,-4.3107366468842737e-4,15,2022-04-11,0.0418836,before leafout
2089,-4.3107366468842737e-4,29,2022-07-19,NA,after leafout
2089,-4.3107366468842737e-4,21,2022-05-23,0.0414787,after leafout
2089,-4.3107366468842737e-4,14,2022-04-04,0.0609999,before leafout
2089,-4.3107366468842737e-4,17,2022-04-25,NA,after leafout
2089,-4.3107366468842737e-4,10,2022-03-08,0.0725754,before leafout
2089,-4.3107366468842737e-4,19,2022-05-09,0.0777709,after leafout
2091,0.0015513993323442111,14,2022-04-04,0.130621,before leafout
2091,0.0015513993323442111,37,2022-09-15,0.1478956,after leafout
2091,0.0015513993323442111,10,2022-03-08,0.10556,before leafout
2091,0.0015513993323442111,29,2022-07-19,NA,after leafout
2091,0.0015513993323442111,15,2022-04-11,0.0919045,before leafout
2091,0.0015513993323442111,17,2022-04-25,NA,after leafout
2091,0.0015513993323442111,19,2022-05-09,0.106451,after leafout
2091,0.0015513993323442111,21,2022-05-23,0.119929,after leafout
2092,-1.071775964391701e-4,15,2022-04-11,0.0232444,before leafout
2092,-1.071775964391701e-4,17,2022-04-25,NA,after leafout
2092,-1.071775964391701e-4,19,2022-05-09,0.0204449,after leafout
2092,-1.071775964391701e-4,21,2022-05-23,0.042306,after leafout
2092,-1.071775964391701e-4,29,2022-07-19,NA,after leafout
2092,-1.071775964391701e-4,37,2022-09-15,0.0211707,after leafout
2092,-1.071775964391701e-4,10,2022-03-08,0,before leafout
2092,-1.071775964391701e-4,14,2022-04-04,0.0722144,before leafout
2093,6.161494807121658e-4,19,2022-05-09,0.0365511,after leafout
2093,6.161494807121658e-4,21,2022-05-23,0.0589932,after leafout
2093,6.161494807121658e-4,37,2022-09-15,0.0696553,after leafout
2093,6.161494807121658e-4,15,2022-04-11,0.0226075,before leafout
2093,6.161494807121658e-4,17,2022-04-25,NA,after leafout
2093,6.161494807121658e-4,29,2022-07-19,NA,after leafout
2093,6.161494807121658e-4,14,2022-04-04,0.0740236,before leafout
2093,6.161494807121658e-4,10,2022-03-08,0.0586179,before leafout
2301,-0.0019298646633102582,12,2022-03-25,0.0713338,before leafout
2301,-0.0019298646633102582,14,2022-04-06,0.0827618,before leafout
2301,-0.0019298646633102582,29,2022-07-19,NA,after leafout
2301,-0.0019298646633102582,10,2022-03-08,0.105351,before leafout
2301,-0.0019298646633102582,15,2022-04-13,0.0358593,before leafout
2301,-0.0019298646633102582,15,2022-04-11,0.0358593,before leafout
2301,-0.0019298646633102582,33,2022-08-18,NA,after leafout
2301,-0.0019298646633102582,14,2022-03-30,0.0827618,before leafout
2301,-0.0019298646633102582,19,2022-05-09,0.0398382,after leafout
2301,-0.0019298646633102582,21,2022-05-23,0.0438012,after leafout
2301,-0.0019298646633102582,14,2022-04-04,0.0827618,before leafout
2301,-0.0019298646633102582,18,2022-05-04,0.0557414,after leafout
2301,-0.0019298646633102582,37,2022-09-15,0.0386009,after leafout
2301,-0.0019298646633102582,17,2022-04-25,0.0597666,after leafout
2331,-0.0026394910795653702,10,2022-03-08,0.0808372,before leafout
2331,-0.0026394910795653702,37,2022-09-15,0.0055023,after leafout
2331,-0.0026394910795653702,19,2022-05-09,0,after leafout
2331,-0.0026394910795653702,21,2022-05-23,0,after leafout
2331,-0.0026394910795653702,29,2022-07-19,NA,after leafout
2331,-0.0026394910795653702,33,2022-08-18,NA,after leafout
2331,-0.0026394910795653702,14,2022-04-06,0.0618328,before leafout
2331,-0.0026394910795653702,14,2022-03-30,0.0618328,before leafout
2331,-0.0026394910795653702,15,2022-04-13,0.0268911,before leafout
2331,-0.0026394910795653702,12,2022-03-25,0.0571093,before leafout
2331,-0.0026394910795653702,17,2022-04-25,0.007462,after leafout
2331,-0.0026394910795653702,18,2022-05-04,0,after leafout
2331,-0.0026394910795653702,15,2022-04-11,0.0268911,before leafout
2345,-9.114257079924493e-4,12,2022-03-25,0.0641068,before leafout
2345,-9.114257079924493e-4,29,2022-07-19,NA,after leafout
2345,-9.114257079924493e-4,10,2022-03-08,0.0815203,before leafout
2345,-9.114257079924493e-4,18,2022-05-04,0.0328335,after leafout
2345,-9.114257079924493e-4,19,2022-05-09,0.0447855,after leafout
2345,-9.114257079924493e-4,21,2022-05-23,0.0466964,after leafout
2345,-9.114257079924493e-4,14,2022-04-06,0.085,before leafout
2345,-9.114257079924493e-4,33,2022-08-18,NA,after leafout
2345,-9.114257079924493e-4,37,2022-09-15,0.0584446,after leafout
2345,-9.114257079924493e-4,15,2022-04-13,0.0464891,before leafout
2345,-9.114257079924493e-4,15,2022-04-11,0.0464891,before leafout
2345,-9.114257079924493e-4,14,2022-04-04,0.085,before leafout
2345,-9.114257079924493e-4,14,2022-03-30,0.085,before leafout
2345,-9.114257079924493e-4,17,2022-04-25,0.0358432,after leafout
2352,-0.003971186540483702,10,2022-03-08,0.116675,before leafout
2352,-0.003971186540483702,33,2022-08-18,NA,after leafout
2352,-0.003971186540483702,37,2022-09-15,0.0037738,after leafout
2352,-0.003971186540483702,19,2022-05-09,0.0196147,after leafout
2352,-0.003971186540483702,21,2022-05-23,0.0140243,after leafout
2352,-0.003971186540483702,29,2022-07-19,NA,after leafout
2352,-0.003971186540483702,14,2022-04-06,0.0890889,before leafout
2352,-0.003971186540483702,14,2022-03-30,0.0890889,before leafout
2352,-0.003971186540483702,15,2022-04-13,0.0282111,before leafout
2352,-0.003971186540483702,12,2022-03-25,0.107653,before leafout
2352,-0.003971186540483702,17,2022-04-25,0.039718,after leafout
2352,-0.003971186540483702,18,2022-05-04,0.0279868,after leafout
2352,-0.003971186540483702,15,2022-04-11,0.0282111,before leafout
2354,-0.0030095207150368022,37,2022-09-15,0,after leafout
2354,-0.0030095207150368022,12,2022-03-25,0.0947559,before leafout
2354,-0.0030095207150368022,14,2022-04-06,0.0747563,before leafout
2354,-0.0030095207150368022,14,2022-03-30,0.0747563,before leafout
2354,-0.0030095207150368022,29,2022-07-19,NA,after leafout
2354,-0.0030095207150368022,33,2022-08-18,NA,after leafout
2354,-0.0030095207150368022,15,2022-04-11,0.0241116,before leafout
2354,-0.0030095207150368022,17,2022-04-25,0.0462138,after leafout
2354,-0.0030095207150368022,19,2022-05-09,0.0285582,after leafout
2354,-0.0030095207150368022,10,2022-03-08,0.0710839,before leafout
2354,-0.0030095207150368022,15,2022-04-13,0.0241116,before leafout
2354,-0.0030095207150368022,21,2022-05-23,0.0207756,after leafout
2354,-0.0030095207150368022,18,2022-05-04,0.0434575,after leafout
2377,-0.0023199283736417805,14,2022-03-30,0.0608625,before leafout
2377,-0.0023199283736417805,12,2022-03-25,0.0609267,before leafout
2377,-0.0023199283736417805,14,2022-04-06,0.0608625,before leafout
2377,-0.0023199283736417805,18,2022-05-04,0.0116741,after leafout
2377,-0.0023199283736417805,15,2022-04-11,0.0025902,before leafout
2377,-0.0023199283736417805,21,2022-05-23,2.3e-6,after leafout
2377,-0.0023199283736417805,29,2022-07-19,NA,after leafout
2377,-0.0023199283736417805,15,2022-04-13,0.0025902,before leafout
2377,-0.0023199283736417805,10,2022-03-08,0.0654164,before leafout
2377,-0.0023199283736417805,19,2022-05-09,0.0278165,after leafout
2377,-0.0023199283736417805,17,2022-04-25,0.00286,after leafout
2377,-0.0023199283736417805,33,2022-08-18,NA,after leafout
2377,-0.0023199283736417805,37,2022-09-15,8.81e-5,after leafout
2380,-3.4024190325972653e-4,15,2022-04-13,0.0173736,before leafout
2380,-3.4024190325972653e-4,14,2022-03-30,0.0480186,before leafout
2380,-3.4024190325972653e-4,21,2022-05-23,0.0543145,after leafout
2380,-3.4024190325972653e-4,15,2022-04-11,0.0173736,before leafout
2380,-3.4024190325972653e-4,12,2022-03-25,0.0617915,before leafout
2380,-3.4024190325972653e-4,37,2022-09-15,0.0453778,after leafout
2380,-3.4024190325972653e-4,14,2022-04-06,0.0480186,before leafout
2380,-3.4024190325972653e-4,29,2022-07-19,NA,after leafout
2380,-3.4024190325972653e-4,17,2022-04-25,0.0356038,after leafout
2380,-3.4024190325972653e-4,10,2022-03-08,0.0790987,before leafout
2380,-3.4024190325972653e-4,18,2022-05-04,0.0274477,after leafout
2380,-3.4024190325972653e-4,19,2022-05-09,0.0575642,after leafout
2380,-3.4024190325972653e-4,33,2022-08-18,NA,after leafout
