model,AIC,delta_AIC,(Intercept),cwc,sd__(Intercept),sd__Observation,lma_g_cm2,lwa_g_cm2,lwc_mean,lai,time_seasonbefore leafout,cwc:time_seasonbefore leafout,lai:lwa_g_cm2,lai:lwc_mean,lai:lma_g_cm2,lwc_mean:lma_g_cm2,lai:lwc_mean:lma_g_cm2
water_potential ~ cwc * time_season,57.26824092631769,0,-1.6642328350424178,9.287321046562427,0.1523930804020935,0.2849164897165962,NA,NA,NA,NA,0.9724953430497494,-10.607032840930597,NA,NA,NA,NA,NA
water_potential ~ lai * lwc_mean * lma_g_cm2,75.10147243833234,17.83323151201465,3.0123074400973495,NA,0.09978673489677468,0.38779579602760916,-465.486272999775,NA,-5.561549177866056,-0.8768764007902426,NA,NA,NA,1.765679644718398,113.31998695270227,523.5814504529725,-160.2870343419756
water_potential ~ cwc,96.66766993981862,39.399429013500935,-1.5365502524005485,9.114704883719204,0.15379038901698058,0.37227675608352645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
water_potential ~ lai * lwa_g_cm2,100.66811858295851,43.399877656640825,-2.760192301211411,NA,0.004394316109110795,0.42731146683627913,NA,70.17114759155493,NA,0.3840863410578217,NA,NA,-11.242120959520744,NA,NA,NA,NA
