model,AIC,(Intercept),cwc,sd__(Intercept),sd__Observation,lma_g_cm2,time_seasonbefore leafout,lwa_g_cm2,lwc_mean,lai
water_potential ~ lwa_g_cm2 + lma_g_cm2 + time_season + (1 | ,113.97347408816094,-2.1768422100334486,NA,0.2665738686267214,0.44310042269649874,-120.09967776411612,0.3809064940022975,100.01513738054321,NA,NA
    tree),113.97347408816094,-2.1768422100334486,NA,0.2665738686267214,0.44310042269649874,-120.09967776411612,0.3809064940022975,100.01513738054321,NA,NA
water_potential ~ lwa_g_cm2 + time_season,131.68021548021454,-3.768829447851463,NA,0.18022331147747772,0.5072073708134788,NA,0.5852509736982165,88.04100011460368,NA,NA
water_potential ~ lwc_mean + lma_g_cm2 + time_season,132.9349737009231,-2.9776871508708935,NA,0.2731170108530349,0.43712717959022906,-36.06728453823215,0.35840178995354366,NA,0.9504866226540808,NA
water_potential ~ cwc + lma_g_cm2 + time_season + lai + (1 | ,138.2388293080334,-1.4714195016981417,-1.7763623029402864,0.3305730374655909,0.4359215859423986,-127.19389579495619,0.389012091262611,NA,NA,0.2766422138231272
