model,AIC,delta_AIC,(Intercept),lwa_g_cm2,lai,lwa_g_cm2:lai,sd__(Intercept),sd__Observation,lwc_mean,lma_g_cm2,lwc_mean:lma_g_cm2,lwc_mean:lai,lma_g_cm2:lai,lwc_mean:lma_g_cm2:lai,water_potential,time_seasonbefore leafout,cwc_ground
cwc ~ lma_g_cm2,-672.9608604462717,0,0.11887939589241991,NA,NA,NA,0.00920849781235284,0.022673374941486392,NA,-6.1020539822223325,NA,NA,NA,NA,NA,NA,NA
cwc ~ lwc_mean * lma_g_cm2 * lai,-669.0078968639649,3.9529635823067792,-0.039445794230411786,NA,0.03329126482759451,NA,0.009861690581235141,0.021540851251523285,0.041946969986587215,-2.7662299920008273,5.3019720679869025,0.011725341077766233,0.24323011310590564,-3.575535874379681,NA,NA,NA
cwc ~ time_season,-667.3349141219345,5.625946324337178,0.024284566746881186,NA,NA,NA,0.007190962485832473,0.022683946134225204,NA,NA,NA,NA,NA,NA,NA,0.021951529751584927,NA
cwc ~ lwc_mean,-663.6118636115184,9.34899683475328,-0.011558063094212754,NA,NA,NA,0.0086375075180482,0.022800137695299393,0.05086706395254765,NA,NA,NA,NA,NA,NA,NA,NA
