model,AIC,delta_AIC,(Intercept),lwa_g_cm2,lai,lwa_g_cm2:lai,sd__(Intercept),sd__Observation,lwc_mean,lma_g_cm2,lwc_mean:lma_g_cm2,lwc_mean:lai,lma_g_cm2:lai,lwc_mean:lma_g_cm2:lai,water_potential,time_seasonbefore leafout
cwc ~ lma_g_cm2,-391.00929156365356,0,0.12244419363472854,NA,NA,NA,0.010856811236020449,0.02225910146257629,NA,-6.436914408579774,NA,NA,NA,NA,NA,NA
cwc ~ lwc_mean,-390.6290000736881,0.38029148996548656,-0.02071004776342483,NA,NA,NA,0.010757350583497253,0.02092308723912961,0.05859865389075885,NA,NA,NA,NA,NA,NA,NA
cwc ~ lwc_mean * lma_g_cm2 * lai,-390.32064726431446,0.6886442993391029,0.09327970641234248,NA,-0.02371138295166323,NA,0.009515842302121253,0.020980944453294417,-0.12721827858304138,-9.568368293920884,13.163293408004085,0.07164645981146135,2.8286356673075335,-5.694809014143918,NA,NA
