model,AIC,delta_AIC,(Intercept),lwa_g_cm2,lai,lwa_g_cm2:lai,sd__(Intercept),sd__Observation,lwc_mean,lma_g_cm2,lwc_mean:lma_g_cm2,lwc_mean:lai,lma_g_cm2:lai,lwc_mean:lma_g_cm2:lai,water_potential,time_seasonbefore leafout
cwc ~ lwc_mean * lma_g_cm2 * lai,-390.32064726431446,0.6886442993391029,0.09327970641234248,NA,-0.02371138295166323,NA,0.009515842302121253,0.020980944453294417,-0.12721827858304138,-9.568368293920884,13.163293408004085,0.07164645981146135,2.8286356673075335,-5.694809014143918,NA,NA
cwc ~ lai,-367.7691302725011,23.240161291152447,0.008290377151953097,NA,0.010597346515369513,NA,0.0038129093754446174,0.02569377584423645,NA,NA,NA,NA,NA,NA,NA,NA
cwc ~ lwa_g_cm2 * lai,-342.7874063799121,48.22188518374145,0.011932409511807102,0.19221007714337057,-0.0029939169560904196,0.8341026270283952,0.008763559091428478,0.023306882160954976,NA,NA,NA,NA,NA,NA,NA,NA
